Date,SP500,Crude_Oil,US_10Y_Yield,Copper,Steel_PPI,CPI,Unemployment_Rate
2018-02-01,2713.830078125,61.63999938964844,2.868000030517578,3.1075000762939453,221.2,249.529,4.1
2018-03-01,2640.8701171875,64.94000244140625,2.740999937057495,3.0190000534057617,224.4,249.577,4.0
2018-05-01,2705.27001953125,67.04000091552734,2.822000026702881,3.058000087738037,237.8,250.792,3.8
2018-06-01,2718.3701171875,74.1500015258789,2.8489999771118164,2.9509999752044678,245.1,251.018,4.0
2018-08-01,2901.52001953125,69.80000305175781,2.8529999256134033,2.6489999294281006,252.3,251.663,3.8
2018-09-01,2913.97998046875,73.25,3.055999994277954,2.7869999408721924,252.0,252.182,3.7
2018-10-01,2711.739990234375,65.30999755859375,3.1589999198913574,2.6635000705718994,250.6,252.772,3.8
2018-11-01,2760.169921875,50.93000030517578,3.013000011444092,2.7774999141693115,246.1,252.594,3.8
2018-12-01,2506.85009765625,45.40999984741211,2.686000108718872,2.628000020980835,246.8,252.767,3.9
2019-01-01,2704.10009765625,53.790000915527344,2.634999990463257,2.7890000343322754,245.5,252.561,4.0
2019-02-01,2784.489990234375,57.220001220703125,2.7109999656677246,2.950000047683716,236.0,253.319,3.8
2019-03-01,2834.39990234375,60.13999938964844,2.4140000343322754,2.936000108718872,235.5,254.277,3.8
2019-04-01,2945.830078125,63.90999984741211,2.509000062942505,2.9014999866485596,236.2,255.233,3.7
2019-05-01,2752.06005859375,53.5,2.1419999599456787,2.6459999084472656,233.7,255.296,3.6
2019-06-01,2941.760009765625,58.470001220703125,2.0,2.7054998874664307,227.5,255.213,3.6
2019-07-01,2980.3798828125,58.58000183105469,2.0209999084472656,2.6579999923706055,225.6,255.802,3.7
2019-08-01,2926.4599609375,55.099998474121094,1.50600004196167,2.5329999923706055,224.1,256.036,3.6
2019-10-01,3037.56005859375,54.18000030517578,1.690999984741211,2.632999897003174,218.1,257.155,3.6
2019-11-01,3140.97998046875,55.16999816894531,1.7760000228881836,2.6419999599456787,216.1,257.879,3.6
